"","x"
"1",6.17159830573111e-07
"2",4.09030463548877e-05
"3",0.000449802230622929
"4",0.000906987090893586
"5",0.000906987090893586
"6",0.000906987090893586
"7",0.000906987090893586
"8",0.000906987090893586
"9",0.00131676427014929
"10",0.00168691503794754
"11",0.00168691503794754
"12",0.00168691503794754
"13",0.00168691503794754
"14",0.00168691503794754
"15",0.00168691503794754
"16",0.00168691503794754
"17",0.00168691503794754
"18",0.00168691503794754
"19",0.00168691503794754
"20",0.00168691503794754
"21",0.00168691503794754
"22",0.00168691503794754
"23",0.00168691503794754
"24",0.00168691503794754
"25",0.00168691503794754
"26",0.00168691503794754
"27",0.00168691503794754
"28",0.00168691503794754
"29",0.00168691503794754
"30",0.00168691503794754
"31",0.00168691503794754
"32",0.00168691503794754
"33",0.00168691503794754
"34",0.00168691503794754
"35",0.00168691503794754
"36",0.00168691503794754
"37",0.00168691503794754
"38",0.00168691503794754
"39",0.00168691503794754
"40",0.00168691503794754
"41",0.00168691503794754
"42",0.00168691503794754
"43",0.00168691503794754
"44",0.00168691503794754
"45",0.00168691503794754
"46",0.00168691503794754
"47",0.00171436243787991
"48",0.00181342369495321
"49",0.00191231794959324
